segment,TreeID,sp,lichen,apex_dist,treatment,sampleID,lenticel_size,LD,gbark,bark_thickness_ratio,Round,Tc
023C,23,MG,0,48.5,35C,023C,1.272,0.084287022,3.443437892,0.083432658,1,32.18482983
023D,23,MG,0,49,45C,023D,1.406,0.065283526,2.915389616,0.081989581,1,40.31897309
023E,23,MG,0,46,55C,023E,1.269,0.050252874,3.085663454,0.084702397,1,55.11831039
024A,24,LS,0.55,47,10C,024A,1.362,0.087295075,7.331301698,0.009146341,1,10.98738793
024B,24,LS,0.75,75,25C,024B,0.833,0.080451656,6.913057045,0.07306968,1,23.93427813
024C,24,LS,0.7,55,35C,024C,1.032,0.066425818,3.949182639,0.097975946,1,32.20098097
024D,24,LS,0.5,72,45C,024D,0.665,0.077542759,4.317179145,0.083773319,1,40.12709944
024E,24,LS,0.3,55,55C,024E,1.057,0.108018896,6.86689466,0.077769626,1,55.11904737
025A,25,LS,0,68,10C,025A,1.088,0.100480921,5.086902205,0.090137068,4,10.51400492
025B,25,LS,0,53,25C,025B,1.281,0.080876341,6.806924606,0.091570649,4,23.26503125
025C,25,LS,0.3,60,35C,025C,1.092,0.115617037,3.443598894,0.08225758,4,32.72834848
025D,25,LS,0.4,81,45C,025D,1.191,0.065256662,2.417652681,0.116648107,4,42.07683158
025E,25,LS,0,58,55C,025E,1.142,0.076543168,3.78089805,0.097629239,4,55.23140667
