TreeID,sp,lichen,segment,apex_dist,fresh_mass,dry_mass,length_counted_lenticel,n_lenticels,lenticel_diam1,lenticel_diam2,lenticel_diam3,lenticel_diam4,lenticel_diam5,lenticel_diam6,lenticel_diam7,lenticel_diam8,lenticel_diam9,lenticel_diam10,exposed_length,total_length,basal_diam1,basal_diam2,basal_xylem_diam1,basal_xylem_diam2,basal_pith_diam1,basal_pith_diam2,distal_diam1,distal_diam2,distal_xylem_diam1,distal_xylem_diam2,distal_pith_diam1,distal_pith_diam2
17,PE,0,017B,64,4.9996,2.4733,,,,,,,,,,,,,56.8,74.38,9,8.76,7.07,7.2,1.78,1.29,8.63,9.33,7.63,7.13,1.69,1.51
17,PE,0,017E,62,6.4197,3.0585,,,,,,,,,,,,,66.42,85.53,9.27,9.46,8.04,8.25,1.52,1.84,9.34,8.92,7.6,7.67,1.61,1.32
8,MG,0.03,008E,65,4.9484,2.6717,37.5,24,1.39,0.98,1.32,1.39,1.45,1.16,1.48,1,1.16,1.16,54.64,73.15,9.7,9.55,8.02,7.68,1.84,1.39,9.36,9.36,7.95,8.24,0.79,0.77
8,MG,0,008A,38,2.9115,1.4639,71.67,26,1.18,1.02,0.86,0.84,0.72,0.88,1.03,1.42,1.32,0.95,59.76,71.67,7.97,7.37,5.92,5.64,2.96,2.68,6.74,7.29,5.13,5.62,3.33,3.03
8,MG,0.2,008B,42,4.0117,2.1196,30.76,16,1.13,1.2,0.99,1,2.09,1.41,1.27,1.37,1.12,1.27,43.67,61.77,9.4,9.46,7.52,7.22,2.62,2.73,9.24,8.7,7.41,6.61,1.62,1.61
8,MG,0,008C,42,4.9416,2.4917,31.74,16,1.03,1.29,1.39,1.1,1.32,1.45,1.3,1.26,1.49,1.09,56.23,72.41,10.34,9.65,7.49,7.68,2.93,3.11,9.8,9.85,8.28,7.92,2.94,3.05
8,MG,0.03,008D,49,4.1584,2.0875,20.3,9,0.86,1.21,1.39,0.78,1.36,1.06,0.96,1.72,1.35,0.71,65.41,84.32,7.74,7.8,5.89,6.09,2.14,2.85,7.87,7.63,6.36,6.02,1.85,2.18
14,CC,0.15,014A,117,5.4145,3.3308,,,,,,,,,,,,,64.77,82.69,8.8,9.35,7.46,7.16,1.71,2.23,8.53,8.69,7.47,7.51,4.72,4.38
14,CC,0.03,014B,81,2.8258,1.7251,,,,,,,,,,,,,49.81,65.77,8.14,8.27,7.25,7.04,2.33,2.76,7.05,7.46,6.45,6.44,2.05,2.55
14,CC,0.15,014C,101,2.1787,1.3572,,,,,,,,,,,,,28.02,37.5,9.19,9.7,8.13,8.52,0.86,0.87,8.38,8.7,7.66,7.91,1.39,1.3
14,CC,0.08,014D,71,4.9989,2.8308,,,,,,,,,,,,,67.69,78.79,8.13,8.06,7.5,7.25,1.17,1.21,8.28,7.79,6.86,7.19,1.11,0.92
14,CC,0.3,014E,103,4.0095,2.4952,,,,,,,,,,,,,38.08,62.05,10,9.7,9.22,8.38,1.37,1.92,9.15,9.11,7.79,7.61,0.93,0.88
9,TD,0.1,009E,116,4.9406,2.4526,37.47,9,1.93,1.44,1.57,1.38,1.3,1.47,0.93,1.24,1.34,1.65,57.93,74.61,10.13,9.89,8.45,8.74,1.46,1.56,9.18,9.53,8.4,8.43,1.04,1.06
9,TD,0.2,009C,63,1.236,0.5515,39.02,3,1.5,1.53,1.62,,,,,,,,27.65,39.02,6.35,6.18,4.98,4.54,0.78,0.76,6.5,6.04,5.23,4.68,1.24,1.33
