segment,TreeID,sp,lichen,apex_dist,treatment,sampleID,lenticel_size,LD,gbark,bark_thickness_ratio,diam,Round,Tc,mf,vpd,E,bark_thickness,water_content,RWC_end,LossFrac_end,RWC_end_sat
015B,15,CC,0.5,86,25C,015B,NA,NA,3.170484563,0.085362047,8.01,3,24.5279186,0.975688831,1.238793003,0.039737781,0.68375,0.001213577,0.985897599,0.014102401,0.604468806
015C,15,CC,0.35,103,35C,015C,NA,NA,2.516139186,0.07984608,10.395,3,32.97181747,0.965992115,3.172943342,0.081585683,0.83,0.001141959,0.969179967,0.030820033,0.555636096
015D,15,CC,0.1,63,45C,015D,NA,NA,2.08538775,0.075147518,7.2025,3,40.74091882,0.95284598,5.810275784,0.125531123,0.54125,0.001296506,0.939684376,0.060315624,0.730042283
015E,15,CC,0.3,106,55C,015E,NA,NA,1.752146752,0.074903793,9.095,3,55.122915,0.911900257,13.85970758,0.262886184,0.68125,0.001217306,0.915897057,0.084102943,0.583960725
016A,16,PE,0,56.5,10C,016A,NA,NA,6.973354989,0.126687847,9.4425,1,11.05963482,0.991023989,0.820574621,0.05699887,1.19625,0.001776241,0.9875671,0.0124329,0.825309504
016B,16,PE,0,36,25C,016B,NA,NA,6.860489084,0.192213366,8.155,1,23.93834624,0.976967433,1.283828992,0.088996458,1.5675,0.001800496,0.978859738,0.021140262,0.851774304
016C,16,PE,0,53,35C,016C,NA,NA,3.431454637,0.110027855,8.0775,1,32.20180256,0.967806856,3.106112601,0.108716964,0.88875,0.001728233,0.969194313,0.030805687,0.817334226
016D,16,PE,0,43.5,45C,016D,NA,NA,5.513308795,0.13022306,7.9575,1,40.11545284,0.954717939,5.721226174,0.326149642,1.03625,0.001771506,0.90005777,0.09994223,0.754027103
016E,16,PE,0.1,61,55C,016E,NA,NA,3.248290259,0.097506234,10.025,1,55.11904737,0.912856125,14.04728682,0.493441305,0.9775,0.001649259,0.886538821,0.113461179,0.748999303
017A,17,PE,0,93,10C,017A,NA,NA,4.214923116,0.084275066,10.3975,2,11.19878711,0.991093487,0.858281914,0.036032596,0.87625,0.001654347,0.986811363,0.013188637,0.764436444
017B,17,PE,0,64,25C,017B,NA,NA,3.620522424,0.093645017,8.93,2,23.72337769,0.976537836,1.119992538,0.040990937,0.83625,0.001703671,0.988441594,0.011558406,0.818039913
017C,17,PE,0,72,35C,017C,NA,NA,3.280646027,0.113460183,10.6425,2,33.60613968,0.965215711,3.374749591,0.113231458,1.2075,0.001669943,0.958767579,0.041232421,0.738134238
017D,17,PE,0,49,45C,017D,NA,NA,2.759830488,0.103419093,7.385,2,41.07388084,0.95204145,5.980481863,0.171140692,0.76375,0.00174495,0.910830463,0.089169537,0.769034349
017E,17,PE,0,62,55C,017E,NA,NA,4.56835624,0.073398216,9.2475,2,47.58815432,0.927795075,10.74900864,0.522476627,0.67875,0.001838176,0.865940735,0.134059265,0.774335939
018A,18,PE,0,70,10C,018A,NA,NA,4.033134865,0.100641417,8.185,3,10.83019252,0.991506879,0.877225998,0.035224843,0.82375,0.001740087,0.993233936,0.006766064,0.889133873
018B,18,PE,0,66,25C,018B,NA,NA,4.951709711,0.088081306,8.1175,3,24.53123516,0.97569096,1.240420941,0.062144477,0.715,0.001725997,0.976289294,0.023710706,0.822110924
018C,18,PE,0,44,35C,018C,NA,NA,2.534866468,0.113449088,8.495,3,32.90194637,0.966098875,3.156265037,0.081751839,0.96375,0.00176653,0.977548037,0.022451963,0.903550818
018D,18,PE,0,54,45C,018D,NA,NA,4.558517199,0.107105263,9.5,3,40.7529625,0.952822467,5.815397532,0.274651244,1.0175,0.001773068,0.922404372,0.077595628,0.793962176
018E,18,PE,0,59,55C,018E,NA,NA,3.763923476,0.087374335,8.455,3,55.12338231,0.911936253,13.86798345,0.565041275,0.73875,0.001823912,0.817251056,0.182748944,0.752458307
019A,19,PE,0,72,10C,019A,NA,NA,3.997558092,0.111381454,9.2475,4,10.62280091,0.991459906,0.837663547,0.03334109,1.03,0.00174091,0.991963145,0.008036855,0.778165935
019B,19,PE,0,58,25C,019B,NA,NA,3.404148804,0.129053828,7.4775,4,23.30020222,0.977292065,1.125475398,0.038699979,0.965,0.001808829,0.989734955,0.010265045,0.835325967
019C,19,PE,0,64,35C,019C,NA,NA,2.484583841,0.106356199,7.945,4,32.8588033,0.966646477,3.249806938,0.082458247,0.845,0.001781327,0.971064921,0.028935079,0.791156637
019D,19,PE,0,60,45C,019D,NA,NA,5.15755943,0.0955928,8.055,4,42.13856292,0.950191526,6.524226046,0.349584881,0.77,0.001699388,0.87947046,0.12052954,0.721949992
019E,19,PE,0,60,55C,019E,NA,NA,4.102912069,0.094228504,8.49,4,55.22897154,0.911973358,14.03576957,0.623357003,0.8,0.001955577,0.873974968,0.126025032,0.849316893
